Devices
2000
,,pelvis - accel,,,pelvis - gyro,,,pelvis - mag,,,pelvis - Global Angle,,,pelvis - HighG,,,tibia - accel,,,tibia - gyro,,,tibia - mag,,,tibia - Global Angle,,,tibia - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
2,11,9646.52,-1877.56,-190.924,1.40634,0.67118,-0.858952,1.93326e-05,-2.03826e-05,-1.605e-05,0,0,0,0,0,0,9090.19,-1114.54,3531.19,1.29929,1.00945,0.150744,0,0,0,0,0,0,0,0,0
2,12,9695.95,-1883.82,-191.268,1.28142,0.656712,-0.843612,1.93068e-05,-2.03568e-05,-1.605e-05,0,0,0,0,0,0,9116.65,-1130.37,3511.14,1.39462,1.1072,0.164363,0,0,0,0,0,0,0,0,0
2,13,9690.61,-1882.56,-172.006,1.36801,0.802168,-0.768288,1.92809e-05,-2.03309e-05,-1.605e-05,0,0,0,0,0,0,9125.26,-1140.54,3469.19,1.26051,1.20877,0.118863,0,0,0,0,0,0,0,0,0
2,14,9677.1,-1885.44,-154.358,1.45914,0.91787,-0.712437,1.92551e-05,-2.03051e-05,-1.605e-05,0,0,0,0,0,0,9124.85,-1146.31,3441.22,1.17186,1.25398,0.0780071,0,0,0,0,0,0,0,0,0
2,15,9634.98,-1902.77,-142.356,1.56618,0.929436,-0.724741,1.92292e-05,-2.02792e-05,-1.605e-05,0,0,0,0,0,0,9092.82,-1136.65,3462.18,1.24229,1.10194,0.0534046,0,0,0,0,0,0,0,0,0
2,16,9603,-1917.13,-140.346,1.53844,0.902215,-0.706703,1.92033e-05,-2.02533e-05,-1.605e-05,0,0,0,0,0,0,9084.74,-1133.34,3491.6,1.28653,1.01741,0.0296319,0,0,0,0,0,0,0,0,0
2,17,9583.7,-1927.79,-150.824,1.34221,0.826511,-0.650736,1.91775e-05,-2.02275e-05,-1.605e-05,0,0,0,0,0,0,9106.58,-1137.97,3531.61,1.29804,1.01727,0.0068966,0,0,0,0,0,0,0,0,0
2,18,9595.48,-1917.06,-169.462,1.22407,0.736058,-0.629358,1.91516e-05,-2.02016e-05,-1.605e-05,0,0,0,0,0,0,9111.12,-1128.41,3534.77,1.32498,1.0871,-0.0209494,0,0,0,0,0,0,0,0,0
2,19,9622.8,-1895.62,-192.179,1.14497,0.63823,-0.625274,1.91258e-05,-2.01758e-05,-1.605e-05,0,0,0,0,0,0,9107.01,-1111.77,3519.52,1.35963,1.19191,-0.0513507,0,0,0,0,0,0,0,0,0
3,0,9625.76,-1894.72,-206.053,1.16631,0.7163,-0.59926,1.90999e-05,-2.01499e-05,-1.605e-05,0,0,0,0,0,0,9122.11,-1130.57,3522.2,1.34022,1.21701,0.125186,0,0,0,0,0,0,0,0,0
